idx,lp,name,token_adr,pool_adr,tvl,borrow,utilization
79,0xFf2b9aDa14F0E8002F8389497b86bFeCA63e8f58,ETH2x-FLI-P,0x3Ad707dA309f3845cd602059901E39C4dcd66473,0x007e6db55CfDB3fE746bDC256b82030C5Aa0665A,101754,78623,77.27
79,0xFf2b9aDa14F0E8002F8389497b86bFeCA63e8f58,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x038164Db95Db171D600a010B1905Ae4F6A0a5792,125594,89276,71.08
80,0x1714f3d4C4654bd5afD0Ff2590d23b053e0BEA81,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xC42dc5EAbE1a9919320977d10564CB08E84bf0E0,688529,447000,64.92
80,0x1714f3d4C4654bd5afD0Ff2590d23b053e0BEA81,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x6d24195060e20C2d717408B8dEcCA487B945c78b,908442,492850,54.25
81,0xe74189ce423345967Ef5A646316Ece52BB2fbFC9,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xda0c5488ef2298A59fA771575b8Ba2BAf26A02AE,352986,222679,63.08
81,0xe74189ce423345967Ef5A646316Ece52BB2fbFC9,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x309A9E0ffAd46eEE0D9aBa0214f5982d78d85ba0,578077,281960,48.78
82,0x14a49B53B62f7037814d4F5cAb8C92F185d045B0,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x79c405fBb4014638942D6a45B56Ce27D75668D97,291757,192947,66.13
82,0x14a49B53B62f7037814d4F5cAb8C92F185d045B0,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0xed618C29ABc8fa6eE05b33051B3cdB4A1Efb7924,344473,217479,63.13
83,0x34310CE0a22A7e6142c66B5334CE3C91d3892313,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xFA13767f84b51978D83DFFdED1670f6E145450e9,9833,3453,35.12
83,0x34310CE0a22A7e6142c66B5334CE3C91d3892313,SX,0x840195888Db4D6A99ED9F73FcD3B225Bb3cB1A79,0xe25F00D4C611c939db6F2A2B6dBDe2326e898D31,29865,3122,10.45
84,0xCB9A1bf72BE38A9cE7ac781D2deab19eb7f0a03A,TETU,0x255707B70BF90aa112006E1b07B9AeA6De021424,0xc9e2632A214db880f4dc23933461E435f46483cd,0,0,NaN
84,0xCB9A1bf72BE38A9cE7ac781D2deab19eb7f0a03A,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x187BFc8ad68a53b067cb761f18c1937F95A96Ed0,0,0,NaN
85,0x2bb779ce585a19A202ccC6e583968431b3F15eA8,cxADA,0x64875Aaa68d1d5521666C67d692Ee0B926b08b2F,0xDba98285B925E6fDeA7a3B062e01E2d26C39E9d4,2790,2818,101.00
85,0x2bb779ce585a19A202ccC6e583968431b3F15eA8,cxETH,0xfe4546feFe124F30788c4Cc1BB9AA6907A7987F9,0x2f71f891Bf3D7973081256f140b89d9aAb2fE518,2884,2898,100.46
86,0x63489c42530234b8F5d1124d2e671129be32b3b5,cxDOGE,0x9Bd9aD490dD3a52f096D229af4483b94D63BE618,0x3A3A5167c8a9407409E3BE4c96DfA81C1d4E6992,2828,2825,99.92
86,0x63489c42530234b8F5d1124d2e671129be32b3b5,cxETH,0xfe4546feFe124F30788c4Cc1BB9AA6907A7987F9,0xEe851D0F29C66d654F71fff367AC1f94725DA2D5,2764,2776,100.41
87,0x33DF8a72F92FB77b43f787cAC7A56697f2Ee54Ab,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xE45A1eCe1a701DcE15a6cE31467BeaBF018780bB,69053,48412,70.11
87,0x33DF8a72F92FB77b43f787cAC7A56697f2Ee54Ab,cxETH,0xfe4546feFe124F30788c4Cc1BB9AA6907A7987F9,0x0b086D9084f3cCE5d2cF2c2B8AA868b342D48cbC,54729,42604,77.85
